AAAAUTOCLUB,"Group for drivers"
JELLOBIAFRA,"Alternative Tentacles co-founder"
JELLOBIAFRA,"Punk rock frontman who ran for mayor of San Francisco in 1979"
JENNAELFMAN,"TV's Dharma Finkelstein"
JENNYCARTER,"Braying comedian's helpmate?"
JEREMYIRONS,"""Golf for Dummies"" as read by actor ___"
JEREMYIRONS,"""I have a smell of an an actor, which is that of the lover."" source"
JEREMYIRONS,"""Reversal of Fortune"" star"
JEREMYIRONS,"Actor in ""Brideshead Revisited"""
JEREMYIRONS,"Best Actor of 1990"
JEREMYIRONS,"Claus von Bulow on film"
JEREMYIRONS,"Clubs for a ""Reversal of Fortune"" actor?"
JEREMYIRONS,"Oscar-winning golfer?"
JEREMYIRONS,"Scar's voice in ""The Lion King"""
JEREMYIRONS,"Wrinkles disappear when ___"
JEREMYSLATE,"""Second most popular actor, ___"""
JERKYMARKET,"Singles bar, after dehydration?"
JEROMEDAVID,"Salinger"
JEROMEDAVID,"The ""J. D."" of J. D. Salinger"
JERRYANDBEN,"Comic actors"
JERRYBUILDS,"Puts together cheaply"
JERRYGARCIA,"Bandmate of Phil Lesh"
JERRYGARCIA,"Grateful Dead singer who wed Deborah Koons 2-14-94"
JERRYNADLER,"Congressman once famously mocked by Al D'Amato"
JERRYQUARRY,"""Here's Stallone talking to boxer ___. Do I smell film project?"""
JERRYRIGGED,"Assembled in a makeshift manner"
JERSEYSHOER,"Reality show about an Atlantic City cobbler"
JERSEYSHORE,"Atlantic City site"
JERSEYSHORE,"Garden State resort area"
JERSEYSHORE,"Hit MTV series starting in 2009"
JERSEYSHORE,"MTV reality show that controversially uses the terms ""Guido"" and ""Guidette"""
JERSEYSHORE,"Vacation locale"
JERSEYSHORN,"Result of every resident of an East Coast state going hairless?"
JESSICAHAHN,"Jim Bakker scandal figure"
JESSIESCURL,"Style Rick Springfield coveted?"
JESTERLINGO,"Fool's jargon?"
JETAIRLINER,"Fast flier"
JETAIRLINER,"Hit for the Steve Miller Band"
JETAIRLINER,"Sleek runway model"
JETAIRPLANE,"N.F.L. transportation?"
JETBLACKBOX,"Accident analysis tool in a commercial aircraft?"
JETFIFTYONE,"Roman martial arts star?"
JETSKIPPING,"Bouncing around in a hot tub?"
JEWELSFIFER,"Puts gems on a flute player?"
JGLEDNERVES,"Heebie-jeebies"
JILLADVISED,"Like the idea to fetch a pail of water?"
JILLIRELAND,"Ex-wife of Charles Bronson"
JILLIRELAND,"She was married to Charles Bronson"
JILLTREATED,"Doctored by Jack's friend?"
JIMABOUREZK,"1970s senator from South Dakota"
JIMANDERSON,"""Father Knows Best"" father"
JIMANDERSON,"Dad of Betty, Bud, and Kathy"
JIMCHICKSON,"Muppets' creator as a lad?"
JIMIHENDRIX,"*Seattle native with a star on the Hollywood Walk of Fame"
JIMIHENDRIX,"Electric guitar legend"
JIMIHENDRIX,"Follower of Sha Na Na at Woodstock"
JIMIHENDRIX,"Noted performer of ""The Star-Spangled Banner"""
JIMIHENDRIX,"Seattle-born 60's rock star"
JIMIHENDRIX,"Woodstock closer"
JIMIHENDRIX,"Woodstock festival icon"
JIMJEFFORDS,"He famously left the Republican party at age 67"
JIMMORRISON,"*Singer known as the Lizard King"
JIMMORRISON,"Singer who nicknamed himself Mr. Mojo Risin'"
JIMMORRISON,"Singer who wrote the poetry collection ""The Lords and the New Creatures"""
JIMMORRISON,"Val Kilmer, 1991"
JIMMYCARTER,"'Not Just Peanuts' campaign"
JIMMYCARTER,"39th President of the United States"
JIMMYCARTER,"Crowbar schlepper?"
JIMMYCARTER,"Do some prying on a Plains man?"
JIMMYCARTER,"Famed Habitat for Humanity volunteer"
JIMMYCARTER,"First president born in a hospital"
JIMMYCARTER,"Follower of Ford"
JIMMYCARTER,"Former president who served in the U.S. Navy"
JIMMYCARTER,"He created the U.S. Department of Education (#39, 1977-81): 2 wds."
JIMMYCARTER,"Plainsman?"
JIMMYCARTER,"Statesman from Plains"
JIMMYCRATER,"President of the Lunar Society?"
JIMMYDORSEY,"Big band leader, born 2/29/1904, whose brother Tommy also led bands"
JIMMYDORSEY,"Noted bandleader (born 2/29/1904)"
JIMMYFALCON,"SNL alumnus who swoops to catch prey?"
JIMMYFALLON,"""SNL"" star who sings ""Idiot Boyfriend"""
JIMMYIOVINE,"Interscope exec who used to produce Tom Petty albums"
JIMMYKIMMEL,"ABC late-night host"
JIMMYKIMMEL,"Comedian who performed at the 2012 White House Correspondents Dinner"
JIMMYKIMMEL,"Former ""Win Ben Stein's Money"" co-host"
JIMMYKIMMEL,"___ Live"
JIMMYSAVILE,"British DJ who hosted the first episode of ""Top of the Pops"" in 1964"
JIMMYTRACER,"President active in genealogy?"
JIMMYTRACER,"Sleuthing president?"
JIMMYYANCEY,"Pianist who helped develop boogie woogie in the '30s"
JIMROCKFORD,"James Garner as P.I."
JIMROCKFORD,"TV sleuth played by James Garner"
JIMSNEAKERS,"Carrey's athletic apparel?"
JINGLEBELLS,"A Christmas carol"
JINGLEBELLS,"Popular yule song"
JINGLEBELLS,"Sleigh song"
JINGLEBELLS,"Traditional Christmas air"
JINGLEBELLS,"Traditional air"
JINGLEBELLS,"Winter sounds"
JINGLEBELLS,"Wintertime tune"
JINGLEBELLS,"Yuletide song"
JIVYLEAGUER,"Member of a swing-dance group?"
JKIDDGLOVES,"Hand protection for a Dallas Mavericks point guard?"
JMETBECAMEE,"'No reason'"
JOANCOLLINS,"""Dynasty"" actress"
JOANCOLLINS,"Alexis Carrington player"
JOBLESSRATE,"Economist's concern"
JOBLESSRATE,"Number that has gone up since Obama took office"
JOBSCHEDULE,"Shift"
JOBSECURITY,"Reassuring employment situation"
JOBWELLDONE,"Complimentary phrase from the boss"
JOCKEYMASON,"Tack room comic?"
JOCKEYSILKS,"Colorful riding gear"
JOCKULARITY,"Locker-room humor?"
JOCULARLENS,"What a witty person sees things through?"
JODIEFOSTER,"""Nell"" star"
JODIEFOSTER,"Star of ""The Silence of the Lambs"""
JOEDIMAGGIO,"""The Yankee Clipper"""
JOEDIMAGGIO,"'The Yankee Clipper'"
JOEDIMAGGIO,"Baseball player mentioned by Simon & Garfunkel in ""Mrs. Robinson"""
JOEDIMAGGIO,"Famed streaker of 1941"
JOEDIMAGGIO,"Figure 2 (#5)"
JOEDIMAGGIO,"Great Yankees outfielder"
JOEDIMAGGIO,"He had a .325 career batting average"
JOEDIMAGGIO,"He hit 361"
JOEDIMAGGIO,"Yankee great"
JOELIBRAMAN,"Al Gore's 2000 running mate, to an October baby?"
JOELYFISHER,"'til Death star"
JOEMCCARTHY,"Red Scare instigator of the '50s"
JOEPEPITONE,"Yankees' Chance 1962-1969"
JOESATURDAY,"Late-arriving TV detective?"
JOFDIAMONDS,"1967 film starring George Hamilton as a jewel thief"
JOGCOUSTEAU,"French marathoner?"
JOGGEDALONG,"Ran at a set pace"
JOHANNESRAU,"Germany's president"
JOHNANDJUDE,"Two of the apostles"
JOHNASHBERY,"Author of ""Can You Hear, Bird: Poems"""
JOHNBELUSHI,"""Animal House"" actor"
JOHNBELUSHI,"""Saturday Night Live"" regular who co-starred in ""The Blues Brothers"": 2 wds."
JOHNBELUSHI,"""The Blues Brothers"" cast member"
JOHNCHEEVER,"Author of ""The Wapshot Chronicle"""
JOHNERSKINE,"PIANIST"
JOHNFOGERTY,"Creedence Clearwater Revival member"
JOHNFOGERTY,"Rock musician born May 28, 1945"
JOHNFRITTER,"Dawdling actor?"
JOHNGIELGUD,"Best Supporting Actor winner in 'Arthur'"
JOHNGIELGUD,"Knighted Julius Caesar portrayer who helped decriminalize homosexuality in Britain"
JOHNGOODMAN,"He should have starred in ""The Saint"""
JOHNGOODMAN,"Santa Claus portrayer in 1998"
JOHNGRISHAM,"Author of books herein named"
JOHNGRISHAM,"Author of works herein named"
JOHNGRISHAM,"Gospel-spreading author of ""The Client""?"
JOHNHANCOCK,"First signer of the Declaration of Independence: 2 wds."
JOHNHANCOCK,"Patriotic name in insurance"
JOHNHANCOCK,"Signature"
JOHNJOHNSON,"New York City news anchor who penned the recent memoir ""Only Son"""
JOHNKEATING,"Robin Williams in ""Dead Poets Society"""
JOHNKENNEDY,"F."
JOHNKENNEDY,"Most skilled golfer among US presidents"
JOHNKENNEDY,"President during the Cuban Missile Crisis"
JOHNKENNEDY,"Speaker of the quote"
JOHNKENNEDY,"Youngest elected president"
JOHNKENNEDY,"___ Toole (Pulitzer-winning novelist)"
JOHNLECARRE,"""The Spy Who Came in From the Cold"" author"
JOHNLECARRE,"Pseudonym of spy novelist David Cornwell"
JOHNLECARRE,"Writer born David Cornwell"
JOHNLITHGOW,"*Actor, 2005"
JOHNLITHGOW,"Actor-turned-children's book author"
JOHNLITHGOW,"Emmy winner as Dick Solomon"
JOHNLITHGOW,"He played twins in ""Raising Cain"""
JOHNMCENROE,"Bjorn Borg rival"
JOHNMCENROE,"Tennis player who won the U.S. Open in 1979, 1980, 1981 and 1984: 2 wds."
JOHNMCENROE,"Three-time Wimbledon singles champ"
JOHNMCENROE,"Three-time singles champ"
JOHNMCENROE,"Wimbledon champ: 1983-84"
JOHNMCENROE,"Winner 1979, 80, 81, 84"
JOHNNIEFRAY,"Singer in a brawl?"
JOHNNYANGEL,"1962 #1 hit by Shelley Fabares"
JOHNNYARSON,"Criminal talk show host?"
JOHNNYBENCH,"10-time gold glover"
JOHNNYBENCH,"All-Century Team ""masked man"""
JOHNNYBENCH,"An M.V.P.: 1970,1972"
JOHNNYBENCH,"Catcher who won 10 Gold Gloves"
JOHNNYBENCH,"Catcher who won ten Gold Glove awards"
JOHNNYBENCH,"Hall of Fame catcher named World Series MVP of 1976"
JOHNNYBRAVO,"1997-2004 Cartoon Network series"
JOHNNYCACHE,"Carson's secret supply of jokes?"
JOHNNYCAKES,"Tortes for Carson?"
JOHNNYREBID,"What Depp did, over and over, to acquire the auction item he so badly wanted?"
JOHNNYREHAB,"Betty Ford regular?"
JOHNNYSCAKE,"Bar for Cochran?"
JOHNNYSCAKE,"Bench's dessert?"
JOHNNYSCASH,"Certain celebrity's wallet contents?"
JOHNNYSUEDE,"1991 Brad Pitt movie"
JOHNOFGAUNT,"Founder of the royal house of Lancaster"
JOHNOFGAUNT,"He ruled England during his father King Edward III's last years"
JOHNOSBORNE,"""Look Back in Anger"" playwright"
JOHNQPUBLIC,"*Average citizen"
JOHNQPUBLIC,"Average American"
JOHNQPUBLIC,"Kerry or Edwards, downplaying their wealth to look average?"
JOHNQPUBLIC,"Man in the street"
JOHNQPUBLIC,"Ordinary guy"
JOHNQPUBLIC,"Person in a street interview"
JOHNRIGGINS,"Running back named MVP of Super Bowl XVII"
JOHNROWLAND,"The nation's youngest current governor--who became a congressman at age 27"
JOHNSHADEGG,"Arizona congressman since 1995"
JOHNSTRZEMP,"1997*"
JOHNWEIGHIN,"Bathroom scale's purpose?"
JOIEDEVIVRE,"Delight in living"
JOIEDEVIVRE,"Gusto"
JOIEDEVIVRE,"High spirits"
JOINTCHIEFS,"Prison gang leaders?"
JOINTCHIEFS,"Prison wardens?"
JOINTENTURE,"Business partnership"
JOINTFAMILY,"Multi-generational household"
JOINTHEARMY,"Recruiting poster invitation"
JOINTHECLUB,"""That's exactly how I feel""... or what each starred clue's first word can do?"
JOINTHECLUB,"Get on board"
JOINTHECLUB,"Yeah, us too!"
JOINTHENAVY,"Head out to sea, say"
JOINTRETURN,"Honky-tonk owner's income?"
JOINTTENANT,"Property co-owner"
JOKEATFIRST,"End of quip"
JOLLYROGERS,"Black-and-white flags"
JOLLYROGERS,"Flags for Marisand Staubach?"
JOLLYROGERS,"Pirate flags"
JOLLYROGERS,"Pirate flags for Kenny?"
JOLLYROGERS,"Seen in ""Peter Pan"" and ""The Crimson Pirate"""
JONBONGIOVI,"New Jersey rock star, at birth"
JONIONSTAGE,"Folk singer Mitchell in concert?"
JOSECANSECO,"1988 AL MVP"
JOSECANSECO,"American League's Most Valuable Player of 1988: 2 wds."
JOSECANSECO,"Ballplayer arrested for battery, abuse, and possession of drugs and firearms"
JOSECANSECO,"Baseball slugger, 1988 A.L. M.V.P."
JOSECANSECO,"___ ""Can You See"" ___ (former outfielder)"
JOSEFSTALIN,"Svetlana Alliluyeva's father"
JOSEJIMENEZ,"He pitched a no-hitter in 1999"
JOSEJIMINEZ,"Bill Dana portrayal"
JOSEPHBIDEN,"He first entered the Senate in 1973--at age 30 years, 1 month, 14 days"
JOSEPHBIDEN,"Winner or loser?"
JOSEPHHAYDN,"... the Symphony"
JOSEPHHAYDN,"The Creation composer"
JOSEPHSMITH,"Mormon Church founder"
JOSEPHSTORY,"Youngest justice appointed to the Supreme Court"
JOURNALISZT,"Franz takes up reporting?"
JOURNEYSEND,"Final disposition, figuratively"
JOYCEKILMER,"""Trees"" poet"
JOYDIVISION,"Band fronted by late deep-voiced singer Ian Curtis"
JOYDIVISION,"Question #4"
JOYFULBEHAR,"Very happy comedienne and TV host?"
JOYGOODSHOW,"Praise for a cohost of ""The View""?"
JSUPTHECOST,"Adds to the bottom line"
JUANCARLOSI,"Spain's king since 1975"
JUBILEEYEAR,"Special celebration period"
JUDAHBENHUR,"Memorable Charlton Heston role"
JUDASPRIEST,"Band Rob Halford left in 1992...and rejoined in 2003"
JUDGECRATER,"1930s jurist who disappeared"
JUDGECRATER,"Jurist who disappeared in 1930"
JUDGECRATER,"New York Supreme Court figure who disappeared in 1930"
JUDGECRATER,"Subject of a 1930's mystery"
JUDGEDREADS,"1995 Danny Cannon movie about a Jamaican court figure?"
JUDGINGARMY,"Drama about an opinionated military?"
JUDGMENTDAY,"Reckoning juncture"
JUDGMENTDAY,"Subtitle of ""Terminator 2"""
JUDGMENTDAY,"Ultimate moment of truth"
JUDICIARIES,"Court systems"
JUDITHCRIST,"Founding film critic for ""New York"" magazine"
JUDITHLIGHT,"'Who's the Boss?' costar"
JUDYGARLAND,"""Easter Parade"" star"
JUDYGARLAND,"""I can live without money, but I cannot live without love."" source"
JUDYGARLAND,"""Meet Me in St. Louis"" star"
JUDYGARLAND,"""The Wizard of Oz"" star"
JUDYGARLAND,"Frances Gumm"
JUDYGARLAND,"Liza Minnelli's mother"
JUDYGARLAND,"Lorna Luft's mommy"
JUDYGARLAND,"Mother of Liza Minnelli"
JUDYGARLAND,"My daughter had a hit with the Pet Shop Boys on ""Losing My Mind"""
JUDYGARLAND,"Superstar who won a juvenile Oscar"
JUDYISAPUNK,"Ramones classic"
JUGGLINGACT,"Successful multitasking"
JUICECANNON,"Overpowered Minute Maid dispenser?"
JUICENEWTON,"""Angel of the Morning"" singer"
JUICENEWTON,"""Queen of Hearts"" singer"
JUICENEWTON,"""Queen of Hearts"" vocalist, 1981"
JUICYGOSSIP,"Titillating tidbits"
JUJUJUJUBES,"Charmed candies?"
JUKEBOXHERO,"Foreigner hit"
JULIAMORGAN,"Hearst Castle architect"
JULIANBREAM,"*Classical guitarist with four Grammys"
JULIASTILES,"Matt Damon's costar in ""The Bourne Ultimatum"""
JULIASTYLES,"Katarina in ""10 Things I Hate About You"""
JULIEBISHOP,"Bob Cummings co-star in ""My Hero"""
JULIEBLUELY,"Actress Christie: 'I feel sad,' said --"
JULIELONDON,"""Cry Me A River"" singer"
JULIELONDON,"""Cry Me a River"" singer"
JULIELONDON,"Singer born in Santa Rosa, California"
JULIELONDON,"Sultry singer who married Jack Webb"
JULIELONDON,"Sultry singer who wed Jack Webb"
JULIENNEHAM,"Chef salad ingredient"
JULIETMILLS,"Character actress who plays Tabitha on ""Passions"""
JULIETTELOW,"Girl Scouts founder (1860)"
JULIINKSTER,"2002 U.S. Women's Open winner"
JULIINKSTER,"LPGA Hall of Famer who does ads for Subaru"
JULIINKSTER,"Two-time U.S. Women's Open winner"
JULISCAESAR,"Golfer Inkster's salad order?"
JUMBOGASJET,"Part of a very large stove?"
JUMBOSHRIMP,"Baby elephant?"
JUMBOSHRIMP,"Cocktail ingredient"
JUMBOSHRIMP,"Menu entree"
JUMBOSHRIMP,"Oxymoronic shellfish"
JUMBOSHRIMP,"Paradoxically named crustacean"
JUMBOSHRIMP,"Seafood serving"
JUMBOSHRIMP,"Very large crustacean"
JUMPERCABLE,"Battery-to-battery link"
JUMPERCABLE,"It'll help you get started"
JUMPINGBAIL,"Illegal exercise?"
JUMPINGBEAN,"Jittery Mexican seed"
JUMPINGBEAN,"Mexican seed that contains a moth larva"
JUMPINGBEAN,"Mexican seed which contains a live moth larva"
JUMPINGJACK,"Attacking Kevorkian?"
JUMPINGJACK,"Conditioning exercise"
JUMPINGJACK,"Energetic Lemmon?"
JUMPINGJACK,"Exercise maneuver"
JUMPINGJACK,"Lively one"
JUMPINGJACK,"Single calisthenic"
JUMPINGJACK,"Toy with strings attached"
JUMPINGJACK,"Trunk item on the go?"
JUMPINGJOHN,"Dignified exercise?"
JUMPSTARTED,"Used booster cables"
JUMPSTHEGUM,"Avoids a sticky situation?"
JUMPSTHEJET,"Goes skydiving?"
JUNEALLYSON,"""The Shrike"" actress"
JUNEALLYSON,"Actress born Ella Geisman"
JUNEALLYSON,"The Shrike star"
JUNEALLYSON,"The Shrike star, 1955"
JUNEANDWARD,"Wally and Beaver's 66A"
JUNEBEETLES,"Members of the scarab family"
JUNECLEAVER,"""Leave It to Beaver"" mom"
JUNECLEAVER,"'50s-'60s sitcom mom"
JUNECLEAVER,"50's-60's TV mom"
JUNECLEAVER,"Sitcom mom"
JUNECLEAVER,"TV spouse née Bronson"
JUNEPOINTER,"One of the ""Neutron Dance"" group"
JUNEWEDDING,"Actress Lockhart's nuptials?"
JUNGLEBELLS,"Flared garb for Tarzan?"
JUNGLEBELLS,"Tarzan's favorite Christmas song?"
JUNGLEBELLS,"Tarzan's tinkly tune?"
JUNGLEFEVER,"1991 movie Stevie did the soundtrack for"
JUNGLEFEVER,"1991 movie with soundtrack by Stevie Wonder"
JUNGLEJAMES,"Full-dress climbing challenge?"
JUNGLEJUICE,"Party punch"
JUNIORAMISS,"Third-year student gone astray?"
JUNIORGOTTI,"Gambino family successor to the 'Teflon Don'"
JUNIORMAFIA,"Lil' Kim's group, before going solo"
JUNIORMINTS,"Chocolate-coated candy"
JUNIORMINTS,"Popular coated candy"
JUNIORPROMO,"Kiddie ad?"
JUNIPERTREE,"Gin-berry source"
JUNKDRAWERS,"Odds-and-ends storage areas"
JUNKJEWELRY,"Cheap beads and such"
JUNKJEWELRY,"Cheap earrings, etc."
JUNKYARDCAT,"Mixed-up night guard?"
JUNKYARDDOG,"Symbol of meanness in a Jim Croce song"
JUNKYJUNKET,"Cheap promotional trip?"
JUNOMACGUFF,"Oscar-nominated title role of 2007"
JURGENGOTHE,"Host of CBC Radio's ""Disc Drive"""
JURYMEMBERS,"12 in a box"
JURYOFPEERS,"Group that hears a court case and renders a final decision: 3 wds."
JURYRIGGING,"Assembling in a makeshift way"
JUSTAGIGOLO,"Half of a David Lee Roth medley"
JUSTAGIGOLO,"Standard with the lines ""Pay for every dance, sellin' each romance"""
JUSTAMINUTE,"""Hold on"""
JUSTAMINUTE,"End of the quip"
JUSTAMOMENT,"""Hold on!"""
JUSTARRIVED,"Came in last?"
JUSTASECOND,"""Hang on..."""
JUSTASECOND,"""Hold on!"": 3 wds."
JUSTASECOND,"""Wait!"""
JUSTASKYOUR,"""___ Heart"" (Frankie Avalon hit)"
JUSTBECAUSE,"""No reason"""
JUSTBEQUIET,"""Silence!"""
JUSTDESERTS,"Comeuppance"
JUSTDESERTS,"Totally arid region?"
JUSTICEJOHN,"Supreme Court name"
JUSTIMAGINE,"""Wouldn't it be great?"""
JUSTIMAGINE,"""Wow!"""
JUSTMARRIED,"2003 Ashton Kutcher film"
JUSTMARRIED,"Good sign on a car trunk"
JUSTONELOOK,"1963 Doris Troy hit"
JUSTSAYNOAM,"Reply to ""Is it Mr. or Professor Chomsky?"""
JUSTSAYNOEL,"Caroler's slogan?"
JUSTSTARTED,"End of the quip"
JUSTTESTING,"'First category is Education: What is the primary function of the College Board?'...BZZZT... 'Noramus is first on the buzzer!'"
JUSTTHESAME,"Anyway"
JUSTTHESAME,"Despite everything"
JUSTTHINKOF,"Part 2 of remark"
JUSTWHATWAS,"Start of a point to ponder"
JUSTYOUWAIT,"""I'm not through yet!"""
JWOWWFACTOR,"One reason for the success of ""Jersey Shore""?"
KABUKIDANCE,"National Theatre of Japan offering"
KABULSTONES,"South central Asian gems?"
KACHINADOLL,"Carving of an ancestral Hopi deity"
KACHINADOLL,"Hopi carving"
KAEIDOSCOPE,"Producer of motion pictures?"
KAISERROLLS,"One leading the German bakers' guild?"
KAISERROLLS,"Sandwich bread choices"
KALASHNIKOV,"Gunman?"
KALEIDOSOAP,"Fun-to-watch suds?"
KALINEDRESS,"Baseball Hall of Famer's garb?"
KANGAROODEE,"Twister?"
KANGAROOMIE,"Animal to hop into bed with?"
KANGAROORAT,"North American rodent"
KANGAROORAT,"Small jumping rodent"
KAPPACABANA,"Greek nightclub?"
KAPPALAMBDA,"Greek combo?"
KARAOKEBARS,"Places where pitches are enjoyed with pitchers?"
KARAOKEBARS,"Where to find open mikes"
KARATECHOPS,"Black belt's blows"
KARATEMOVES,"This puzzle's theme"
KARENARNOLD,"Kevin's sister on ""The Wonder Years"""
KARLOFFFILM,"""The Mummy,"" for one"
KARLOFFMARX,"Partnership that produced ""The Mummy Manifesto""?"
KATEATEDATE,"Smith enjoyed a chewy fruit?"
KATECAPSHAW,"""SpaceCamp"" star"
KATEJACKSON,"""Charlie's Angels"" actress"
KATEJACKSON,"Angel/city slicker?"
KATEJACKSON,"One of ""Charlie's Angels"""
KATEMONSTER,"One of the singers of ""Everyone's a Little Bit Racist"" in ""Avenue Q"""
KATESHUDSON,"Celebrity's classic car?"
KATEWINSLET,"Six-time Oscar nominee with a 2008 win"
KATHRYNDAWN,"Singer lang"
KATHRYNGSON,"""Anchors Aweigh"" actress"
KATHYMATTEA,"Country songstress who wed Jon Vezner 2-14-88"
KATIECOURIC,"Popular TV co-host"
KATIEHOLMES,"SHE LIKE-A TOM (and Tom like-a her)"
KAYAKPADDLE,"Inuit transportation tool"
KAYAKPADDLE,"Rapids-shooter's aid"
KAYEBALLARD,"""The Mothers-in-Law"" co-star"
KAYERATIONS,"Comedian Danny's portions?"
KAZANTZAKIS,"""Zorba the Greek"" author"
KCIREVAMAEB,"Dissent"
KEANUREEVES,"""Johnny Mnemonic"" star"
KEANUREEVES,"Bill's left-handed friend Ted"
KEANUREEVES,"Canadian actor born in 1964"
KEEPANEYEON,"Watch"
KEEPASECRET,"Not share, as information"
KEEPASECRET,"What a blabbermouth can't do"
KEEPINTOUCH,"*Parting words"
KEEPINTOUCH,"A masseur and a correspondent both ___"
KEEPINTOUCH,"Parting words for someone moving away"
KEEPITCLEAN,"Stern urging Stern would spurn"
KEEPITQUIET,"Teacher's request"
KEEPSSECRET,"Holds in"
KEGELKEGGER,"Beer bash with lots of pelvic exercises?"
KEITHBISHOP,"Religious Bronco center?"
KEITHHARING,"""The Radiant Baby"" pop artist"
KEITHHARING,"American pop artist who used very simple figurative signs [1958-90]: 2 wds."
KELLYFORNIA,"Green-loving state?"
KELLYWILLIS,"Transplanted Texan who did ""Bang Bang"""
KENANDKENJR,"Cincinnati Reds"
KENJENNINGS,"Guy who won $2.5 million in 2004"
KENNELSOUND,"BARK"
KENNETHMARS,"""The Producers"" actor"
KENNETHMARS,"""Young Frankenstein"" actor"
KENNETHMARS,"He was Inspector Kemp in ""Young Frankenstein"""
KENNYGFORCE,"Sax player's launch sensation?"
KENNYLOGINS,"1980s pop star who surfs the Net a lot?"
KENNYROGERS,"""I Don't Need You"" singer whose chicken chain made a ""Seinfeld"" episode"
KENNYROGERS,"""Lady"" singer"
KENNYROGERS,"*'Lady' singer"
KENNYROGERS,"Leader of the FIRST Edition"
KENNYROGERS,"Pitcher on the Rangers with the same name as a country singer"
